time,op[7],op[6],op[5],op[4],op[3],op[2],op[1],op[0]
10,x,x,x,x,x,x,x,x
30,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0
170,0,0,0,0,0,0,0,1
190,0,0,0,0,0,0,1,0
210,0,0,0,0,0,1,0,0
230,0,0,0,0,1,0,0,0
250,0,0,0,1,0,0,0,0
270,0,0,1,0,0,0,0,0
290,0,1,0,0,0,0,0,0
310,1,0,0,0,0,0,0,0
330,0,0,0,0,0,0,0,1
350,0,0,0,0,0,0,1,0
370,0,0,0,0,0,1,0,0
390,0,0,0,0,1,0,0,0
410,0,0,0,1,0,0,0,0
430,0,0,1,0,0,0,0,0
450,0,1,0,0,0,0,0,0
470,1,0,0,0,0,0,0,0
490,0,0,0,0,0,0,0,1
510,0,0,0,0,0,0,1,0
530,0,0,0,0,0,1,0,0
550,0,0,0,0,1,0,0,0
